,Boat,Time,Country,Rank,Date,FinalType,Year,City
30,M4x,6:26.99,GBR,2,1981-09-06 00:00:00,FB,1981,Munich
31,M4x,6:28.97,POL,3,1981-09-06 00:00:00,FB,1981,Munich
32,M4x,6:31.36,HON,4,1981-09-06 00:00:00,FB,1981,Munich
33,M4x,6:32.28,YOU,5,1981-09-06 00:00:00,FB,1981,Munich
34,M4x,6:39.85,BUL,6,1981-09-06 00:00:00,FB,1981,Munich
35,M8+,6:02.30,URS,1,1981-09-06 00:00:00,FA,1981,Munich
36,M8+,6:04.31,GBR,2,1981-09-06 00:00:00,FA,1981,Munich
37,M8+,6:06.13,USA,3,1981-09-06 00:00:00,FA,1981,Munich
38,M8+,6:10.41,RDA,4,1981-09-06 00:00:00,FA,1981,Munich
39,M8+,6:13.96,RFA,5,1981-09-06 00:00:00,FA,1981,Munich
40,M8+,6:14.57,TCH,6,1981-09-06 00:00:00,FA,1981,Munich
41,M8+,6:13.16,NZL,1,1981-09-06 00:00:00,FB,1981,Munich
42,M8+,6:16.47,FRA,2,1981-09-06 00:00:00,FB,1981,Munich
43,W4+,3:18.75,URS,1,1981-09-06 00:00:00,FA,1981,Munich
44,W4+,3:23.95,RDA,2,1981-09-06 00:00:00,FA,1981,Munich
45,W4+,3:27.35,USA,3,1981-09-06 00:00:00,FA,1981,Munich
46,W4+,3:29.46,ROU,4,1981-09-06 00:00:00,FA,1981,Munich
47,W4+,3:30.64,RFA,5,1981-09-06 00:00:00,FA,1981,Munich
48,W4+,3:35.28,NED,1,1981-09-06 00:00:00,FB,1981,Munich
49,W4+,3:41.54,GBR,2,1981-09-06 00:00:00,FB,1981,Munich
50,W8+,3:07.58,URS,1,1981-09-06 00:00:00,FA,1981,Munich
51,W8+,3:10.32,USA,2,1981-09-06 00:00:00,FA,1981,Munich
52,W8+,3:14.05,ROU,3,1981-09-06 00:00:00,FA,1981,Munich
53,W8+,3:16.02,CAN,4,1981-09-06 00:00:00,FA,1981,Munich
54,W8+,3:16.20,RDA,5,1981-09-06 00:00:00,FA,1981,Munich
55,W8+,3:26.50,GBR,6,1981-09-06 00:00:00,FA,1981,Munich
0,JM4+,4:55.94,RDA,1,1982-08-08 00:00:00,FA,1982,Piediluco
1,JM4+,4:58.54,URS,2,1982-08-08 00:00:00,FA,1982,Piediluco
2,JM4+,5:00.91,RFA,3,1982-08-08 00:00:00,FA,1982,Piediluco
3,JM4+,5:02.02,ITA,4,1982-08-08 00:00:00,FA,1982,Piediluco
4,JM4+,5:04.44,TCH,5,1982-08-08 00:00:00,FA,1982,Piediluco
5,JM4+,5:09.66,AUS,6,1982-08-08 00:00:00,FA,1982,Piediluco
6,JM4+,5:13.11,GBR,1,1982-08-08 00:00:00,FB,1982,Piediluco
7,JM4+,5:15.26,POL,2,1982-08-08 00:00:00,FB,1982,Piediluco
8,JM4+,5:21.10,IRL,3,1982-08-08 00:00:00,FB,1982,Piediluco
9,JM4+,5:34.30,ISR,4,1982-08-08 00:00:00,FB,1982,Piediluco
10,JM4-,4:42.34,RDA,1,1982-08-08 00:00:00,FA,1982,Piediluco
11,JM4-,4:46.80,RFA,2,1982-08-08 00:00:00,FA,1982,Piediluco
12,JM4-,4:48.53,TCH,3,1982-08-08 00:00:00,FA,1982,Piediluco
13,JM4-,4:50.64,FRA,4,1982-08-08 00:00:00,FA,1982,Piediluco
14,JM4-,4:53.79,ITA,5,1982-08-08 00:00:00,FA,1982,Piediluco
15,JM4-,4:54.79,URS,6,1982-08-08 00:00:00,FA,1982,Piediluco
16,JM4-,4:52.33,YOU,1,1982-08-08 00:00:00,FB,1982,Piediluco
17,JM4-,4:52.82,GBR,2,1982-08-08 00:00:00,FB,1982,Piediluco
