,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
2,Final B,Germany,GER,6:17.73,1:31.57,3:07.14,4:42.86,1:35.57,1:35.72,1:34.87,8,W8+,1996,Georgia
0,Standalone Final,Romania,ROU,6:06.44,1:30.38,3:02.20,4:34.89,1:31.82,1:32.69,1:31.55,1,W8+,2000,NewSouthWales
2,Standalone Final,Netherlands,NED,6:09.39,1:30.59,3:04.58,4:37.42,1:33.99,1:32.84,1:31.97,2,W8+,2000,NewSouthWales
4,Standalone Final,Canada,CAN,6:11.58,1:31.06,3:04.85,4:38.99,1:33.79,1:34.14,1:32.59,3,W8+,2000,NewSouthWales
6,Standalone Final,Belarus,BLR,6:13.57,1:30.05,3:05.20,4:40.00,1:35.15,1:34.80,1:33.57,4,W8+,2000,NewSouthWales
8,Standalone Final,Australia,AUS,6:15.16,1:31.70,3:06.60,4:41.70,1:34.90,1:35.10,1:33.46,5,W8+,2000,NewSouthWales
10,Standalone Final,United States,USA,6:16.87,1:31.41,3:06.07,4:40.86,1:34.66,1:34.79,1:36.01,6,W8+,2000,NewSouthWales
0,Standalone Final,Romania,ROU,6:17.70,1:32.49,3:09.16,4:45.42,1:36.67,1:36.26,1:32.28,1,W8+,2004,SchiniasNationalPark
2,Standalone Final,United States,USA,6:19.56,1:32.24,3:08.90,4:46.25,1:36.66,1:37.35,1:33.31,2,W8+,2004,SchiniasNationalPark
4,Standalone Final,Netherlands,NED,6:19.85,1:34.53,3:11.08,4:47.82,1:36.55,1:36.74,1:32.03,3,W8+,2004,SchiniasNationalPark
6,Standalone Final,People's Republic of China,CHN,6:21.71,1:33.46,3:11.84,4:47.50,1:38.38,1:35.66,1:34.21,4,W8+,2004,SchiniasNationalPark
8,Standalone Final,Germany,GER,6:21.99,1:33.79,3:10.03,4:48.58,1:36.24,1:38.55,1:33.41,5,W8+,2004,SchiniasNationalPark
10,Standalone Final,Australia,AUS,6:31.65,1:33.06,3:09.44,4:48.42,1:36.38,1:38.98,1:43.23,6,W8+,2004,SchiniasNationalPark
0,Final A,United States,USA,6:05.34,1:29.04,3:01.32,4:33.88,1:32.28,1:32.56,1:31.46,1,W8+,2008,Shunyi
2,Final A,Netherlands,NED,6:07.22,1:30.62,3:04.95,4:38.59,1:34.33,1:33.64,1:28.63,2,W8+,2008,Shunyi
4,Final A,Romania,ROU,6:07.25,1:30.02,3:03.10,4:35.93,1:33.08,1:32.83,1:31.32,3,W8+,2008,Shunyi
6,Final A,Canada,CAN,6:08.04,1:29.77,3:04.69,4:36.78,1:34.92,1:32.09,1:31.26,4,W8+,2008,Shunyi
8,Final A,Great Britain,GBR,6:13.74,1:32.02,3:05.21,4:39.88,1:33.19,1:34.67,1:33.86,5,W8+,2008,Shunyi
10,Final A,Australia,AUS,6:14.22,1:31.74,3:06.48,4:41.28,1:34.74,1:34.80,1:32.94,6,W8+,2008,Shunyi
0,Final A,United States,USA,6:10.59,1:29.81,3:02.85,4:37.91,1:33.04,1:35.06,1:32.68,1,W8+,2012,Windsor
2,Final A,Canada,CAN,6:12.06,1:31.31,3:05.19,4:40.15,1:33.88,1:34.96,1:31.91,2,W8+,2012,Windsor
4,Final A,Netherlands,NED,6:13.12,1:30.82,3:05.58,4:41.09,1:34.76,1:35.51,1:32.03,3,W8+,2012,Windsor
6,Final A,Romania,ROU,6:17.64,1:32.18,3:07.21,4:43.50,1:35.03,1:36.29,1:34.14,4,W8+,2012,Windsor
8,Final A,Great Britain,GBR,6:18.77,1:33.37,3:08.76,4:45.03,1:35.39,1:36.27,1:33.74,5,W8+,2012,Windsor
10,Final A,Australia,AUS,6:18.86,1:31.91,3:07.69,4:44.27,1:35.78,1:36.58,1:34.59,6,W8+,2012,Windsor
0,Final A,United States,USA,6:01.49,1:30.79,3:00.88,4:32.56,1:30.09,1:31.68,1:28.93,1,W8+,2016,RiodeJaneiro
2,Final A,Great Britain,GBR,6:03.98,1:32.13,3:03.13,4:34.46,1:31.00,1:31.33,1:29.52,2,W8+,2016,RiodeJaneiro
4,Final A,Romania,ROU,6:04.10,1:32.06,3:03.01,4:35.50,1:30.95,1:32.49,1:28.60,3,W8+,2016,RiodeJaneiro
6,Final A,New Zealand,NZL,6:05.48,1:30.80,3:02.22,4:35.25,1:31.42,1:33.03,1:30.23,4,W8+,2016,RiodeJaneiro
8,Final A,Canada,CAN,6:06.04,1:29.80,3:00.39,4:34.28,1:30.59,1:33.89,1:31.76,5,W8+,2016,RiodeJaneiro
10,Final A,Netherlands,NED,6:08.37,1:30.02,3:00.82,4:35.28,1:30.80,1:34.46,1:33.09,6,W8+,2016,RiodeJaneiro
0,Final A,Canada,CAN,5:59.13,1:29.37,2:59.90,4:30.57,1:30.53,1:30.67,1:28.56,1,W8+,2021,Japan
2,Final A,New Zealand,NZL,6:00.04,1:30.04,3:01.60,4:31.87,1:31.56,1:30.27,1:28.17,2,W8+,2021,Japan
4,Final A,People's Republic of China,CHN,6:01.21,1:30.55,3:02.24,4:33.21,1:31.69,1:30.97,1:28.00,3,W8+,2021,Japan
6,Final A,United States,USA,6:02.78,1:31.13,3:02.40,4:33.70,1:31.27,1:31.30,1:29.08,4,W8+,2021,Japan
8,Final A,Australia,AUS,6:03.92,1:30.03,3:01.53,4:33.57,1:31.50,1:32.04,1:30.35,5,W8+,2021,Japan
10,Final A,Romania,ROU,6:04.06,1:32.30,3:03.98,4:35.06,1:31.68,1:31.08,1:29.00,6,W8+,2021,Japan
0,Final A,East Germany,GDR,6:08.17,1:24.99,2:57.55,4:32.77,1:32.56,1:35.22,1:35.40,1,M4-,1980,Moskva
2,Final A,Soviet Union,URS,6:11.81,1:26.34,3:00.36,4:36.18,1:34.02,1:35.82,1:35.63,2,M4-,1980,Moskva
4,Final A,Great Britain,GBR,6:16.58,1:28.17,3:03.22,4:38.37,1:35.05,1:35.15,1:38.21,3,M4-,1980,Moskva
6,Final A,Czechoslovakia,TCH,6:18.63,1:27.29,3:03.56,4:40.03,1:36.27,1:36.47,1:38.60,4,M4-,1980,Moskva
8,Final A,Romania,ROU,6:19.45,1:28.43,3:05.69,4:44.15,1:37.26,1:38.46,1:35.30,5,M4-,1980,Moskva
10,Final A,Switzerland,SUI,6:26.46,1:28.65,3:04.82,4:44.48,1:36.17,1:39.66,1:41.98,6,M4-,1980,Moskva
0,Final B,France,FRA,6:19.06,1:27.11,3:01.02,4:38.59,1:33.91,1:37.57,1:40.47,7,M4-,1980,Moskva
2,Final B,Poland,POL,6:22.31,1:25.94,3:00.70,4:40.81,1:34.76,1:40.11,1:41.50,8,M4-,1980,Moskva
4,Final B,Bulgaria,BUL,6:22.49,1:29.18,3:07.33,4:46.43,1:38.15,1:39.10,1:36.06,9,M4-,1980,Moskva
6,Final B,Sweden,SWE,6:23.61,1:28.69,3:04.60,4:43.55,1:35.91,1:38.95,1:40.06,10,M4-,1980,Moskva
8,Final B,Cuba,CUB,6:36.20,1:27.89,3:05.27,4:48.09,1:37.38,1:42.82,1:48.11,11,M4-,1980,Moskva
0,Final A,New Zealand,NZL,6:03.48,1:30.51,3:03.20,4:34.89,1:32.69,1:31.69,1:28.59,1,M4-,1984,California
2,Final A,United States,USA,6:06.10,1:30.32,3:02.94,4:35.94,1:32.62,1:33.00,1:30.16,2,M4-,1984,California
4,Final A,Denmark,DEN,6:07.72,1:31.08,3:04.35,4:38.77,1:33.27,1:34.42,1:28.95,3,M4-,1984,California
6,Final A,West Germany,FRG,6:09.27,1:30.83,3:03.76,4:38.43,1:32.93,1:34.67,1:30.84,4,M4-,1984,California
8,Final A,Switzerland,SUI,6:09.50,1:29.69,3:01.96,4:36.68,1:32.27,1:34.72,1:32.82,5,M4-,1984,California
10,Final A,Sweden,SWE,6:11.71,1:30.06,3:02.55,4:37.16,1:32.49,1:34.61,1:34.55,6,M4-,1984,California
0,Final B,Canada,CAN,6:26.10,1:34.97,3:14.21,4:52.40,1:39.24,1:38.19,1:33.70,7,M4-,1984,California
2,Final B,Australia,AUS,6:28.31,1:33.77,3:11.84,4:50.81,1:38.07,1:38.97,1:37.50,8,M4-,1984,California
4,Final B,Great Britain,GBR,6:32.13,1:34.73,3:13.70,4:53.50,1:38.97,1:39.80,1:38.63,9,M4-,1984,California
6,Final B,People's Republic of China,CHN,6:50.03,1:36.53,3:19.22,5:05.08,1:42.69,1:45.86,1:44.95,10,M4-,1984,California
0,Final A,East Germany,GDR,6:03.11,1:29.56,3:01.51,4:32.47,1:31.95,1:30.96,1:30.64,1,M4-,1988,Hanam
2,Final A,United States,USA,6:05.53,1:30.45,3:03.16,4:35.63,1:32.71,1:32.47,1:29.90,2,M4-,1988,Hanam
4,Final A,West Germany,FRG,6:06.22,1:31.65,3:05.53,4:36.22,1:33.88,1:30.69,1:30.00,3,M4-,1988,Hanam
6,Final A,Great Britain,GBR,6:06.74,1:31.18,3:04.48,4:37.35,1:33.30,1:32.87,1:29.39,4,M4-,1988,Hanam
8,Final A,Italy,ITA,6:09.55,1:34.46,3:07.20,4:38.80,1:32.74,1:31.60,1:30.75,5,M4-,1988,Hanam
10,Final A,Soviet Union,URS,11:03.77,1:32.19,3:52.01,–,–,–,–,6,M4-,1988,Hanam
0,Final B,New Zealand,NZL,6:04.74,1:25.50,2:56.02,4:31.17,1:30.52,1:35.15,1:33.57,7,M4-,1988,Hanam
2,Final B,France,FRA,6:08.60,1:27.00,2:59.82,4:34.91,1:32.82,1:35.09,1:33.69,8,M4-,1988,Hanam
4,Final B,Netherlands,NED,6:15.32,1:28.30,3:02.77,4:38.74,1:34.47,1:35.97,1:36.58,9,M4-,1988,Hanam
6,Final B,Sweden,SWE,6:16.41,1:29.65,3:03.87,4:41.63,1:34.22,1:37.76,1:34.78,10,M4-,1988,Hanam
8,Final B,Canada,CAN,6:16.74,1:28.59,3:04.92,4:42.34,1:36.33,1:37.42,1:34.40,11,M4-,1988,Hanam
10,Final B,Greece,GRE,6:18.25,1:28.96,3:04.26,4:44.60,1:35.30,1:40.34,1:33.65,12,M4-,1988,Hanam
0,Final A,Australia,AUS,5:55.04,1:26.42,2:56.29,4:26.70,1:29.87,1:30.41,1:28.34,1,M4-,1992,Bañolas
2,Final A,United States,USA,5:56.68,1:26.47,2:57.65,4:29.40,1:31.18,1:31.75,1:27.28,2,M4-,1992,Bañolas
4,Final A,Slovenia,SLO,5:58.24,1:26.06,2:57.79,4:29.26,1:31.73,1:31.47,1:28.98,3,M4-,1992,Bañolas
6,Final A,Germany,GER,5:58.39,1:27.33,2:59.03,4:31.31,1:31.70,1:32.28,1:27.08,4,M4-,1992,Bañolas
8,Final A,Netherlands,NED,5:59.14,1:28.31,3:01.21,4:33.58,1:32.90,1:32.37,1:25.56,5,M4-,1992,Bañolas
10,Final A,New Zealand,NZL,6:02.13,1:27.18,3:00.26,4:32.09,1:33.08,1:31.83,1:30.04,6,M4-,1992,Bañolas
0,Final B,Great Britain,GBR,6:05.00,1:28.13,3:01.01,4:34.64,1:32.88,1:33.63,1:30.36,7,M4-,1992,Bañolas
2,Final B,Italy,ITA,6:06.21,1:28.92,3:02.22,4:35.86,1:33.30,1:33.64,1:30.35,8,M4-,1992,Bañolas
4,Final B,Spain,ESP,6:06.66,1:29.33,3:02.29,4:36.84,1:32.96,1:34.55,1:29.82,9,M4-,1992,Bañolas
6,Final B,Unified Team,EUN,6:10.62,1:27.52,3:02.16,4:37.70,1:34.64,1:35.54,1:32.92,10,M4-,1992,Bañolas
8,Final B,Canada,CAN,6:13.01,1:28.99,3:04.40,4:40.36,1:35.41,1:35.96,1:32.65,11,M4-,1992,Bañolas
10,Final B,France,FRA,6:17.69,1:32.58,3:08.42,4:45.44,1:35.84,1:37.02,1:32.25,12,M4-,1992,Bañolas
0,Final C,Romania,ROU,6:34.85,1:30.77,3:10.37,4:55.04,1:39.60,1:44.67,1:39.81,13,M4-,1992,Bañolas
2,Final C,Estonia,EST,6:38.76,1:31.98,3:14.39,5:00.35,1:42.41,1:45.96,1:38.41,14,M4-,1992,Bañolas
0,Final A,Australia,AUS,6:06.37,1:28.86,3:02.45,4:36.40,1:33.59,1:33.95,1:29.97,1,M4-,1996,Georgia
2,Final A,France,FRA,6:07.03,1:29.75,3:03.76,4:37.51,1:34.01,1:33.75,1:29.52,2,M4-,1996,Georgia
4,Final A,Great Britain,GBR,6:07.28,1:30.59,3:03.50,4:37.03,1:32.91,1:33.53,1:30.25,3,M4-,1996,Georgia
6,Final A,Slovenia,SLO,6:07.87,1:29.29,3:02.72,4:38.35,1:33.43,1:35.63,1:29.52,4,M4-,1996,Georgia
8,Final A,Romania,ROU,6:08.97,1:28.05,3:01.58,4:36.72,1:33.53,1:35.14,1:32.25,5,M4-,1996,Georgia
10,Final A,Italy,ITA,6:10.60,1:28.46,3:01.33,4:37.99,1:32.87,1:36.66,1:32.61,6,M4-,1996,Georgia
0,Final B,Croatia,CRO,5:54.58,1:24.64,2:54.18,4:26.09,1:29.54,1:31.91,1:28.49,7,M4-,1996,Georgia
2,Final B,Norway,NOR,5:55.19,1:26.67,2:56.39,4:27.34,1:29.72,1:30.95,1:27.85,8,M4-,1996,Georgia
4,Final B,Germany,GER,5:57.77,1:28.13,2:58.18,4:29.95,1:30.05,1:31.77,1:27.82,9,M4-,1996,Georgia
6,Final B,People's Republic of China,CHN,5:58.22,1:27.09,2:58.75,4:30.31,1:31.66,1:31.56,1:27.91,10,M4-,1996,Georgia
8,Final B,United States,USA,5:59.91,1:27.74,2:58.47,4:30.76,1:30.73,1:32.29,1:29.15,11,M4-,1996,Georgia
10,Final B,Poland,POL,6:00.57,1:25.82,2:55.59,4:27.74,1:29.77,1:32.15,1:32.83,12,M4-,1996,Georgia
0,Final A,Great Britain,GBR,5:56.24,1:27.51,2:58.67,4:28.88,1:31.16,1:30.21,1:27.36,1,M4-,2000,NewSouthWales
2,Final A,Italy,ITA,5:56.62,1:29.18,2:59.13,4:29.87,1:29.95,1:30.74,1:26.75,2,M4-,2000,NewSouthWales
4,Final A,Australia,AUS,5:57.61,1:28.39,3:00.26,4:30.72,1:31.87,1:30.46,1:26.89,3,M4-,2000,NewSouthWales
6,Final A,Slovenia,SLO,5:58.34,1:30.69,3:01.91,4:31.88,1:31.22,1:29.97,1:26.46,4,M4-,2000,NewSouthWales
8,Final A,United States,USA,6:02.34,1:28.87,3:01.52,4:33.30,1:32.65,1:31.78,1:29.04,5,M4-,2000,NewSouthWales
10,Final A,New Zealand,NZL,6:09.13,1:30.88,3:04.92,4:37.66,1:34.04,1:32.74,1:31.47,6,M4-,2000,NewSouthWales
0,Final B,France,FRA,6:01.29,1:27.01,2:59.33,4:30.83,1:32.32,1:31.50,1:30.46,7,M4-,2000,NewSouthWales
2,Final B,Yugoslavia,SCG,6:01.54,1:29.24,2:59.57,4:31.13,1:30.33,1:31.56,1:30.41,8,M4-,2000,NewSouthWales
4,Final B,Norway,NOR,6:04.28,1:27.72,3:00.46,4:33.14,1:32.74,1:32.68,1:31.14,9,M4-,2000,NewSouthWales
6,Final B,Romania,ROU,6:06.73,1:28.01,3:01.08,4:34.54,1:33.07,1:33.46,1:32.19,10,M4-,2000,NewSouthWales
8,Final B,Germany,GER,6:08.11,1:27.50,3:02.19,4:37.04,1:34.69,1:34.85,1:31.07,11,M4-,2000,NewSouthWales
10,Final B,Egypt,EGY,6:08.37,1:29.46,3:02.33,4:36.02,1:32.87,1:33.69,1:32.35,12,M4-,2000,NewSouthWales
0,Final A,Great Britain,GBR,6:06.98,1:28.00,3:01.68,4:36.72,1:33.68,1:35.04,1:30.26,1,M4-,2004,SchiniasNationalPark
2,Final A,Canada,CAN,6:07.06,1:28.41,3:02.12,4:36.21,1:33.71,1:34.09,1:30.85,2,M4-,2004,SchiniasNationalPark
